K,Distance,Voting scheme,Weight scheme,Accuracy,Precision,Recall,F1,Solving Time
1,minkowski1,Majority_class,Mutual_classifier,0.9361702127659575,0.9363677536231885,0.9361702127659575,0.9361629881154498,1.6471517086029053
3,minkowski1,Majority_class,Mutual_classifier,0.9414893617021277,0.9427420270116901,0.9414893617021277,0.9414479458648319,1.6380865573883057
5,minkowski1,Majority_class,Mutual_classifier,0.9414893617021277,0.9419395037951739,0.9414893617021277,0.9414744587519457,1.7141931056976318
7,minkowski1,Majority_class,Mutual_classifier,0.9414893617021277,0.9427420270116901,0.9414893617021277,0.9414479458648319,1.642643928527832
1,minkowski1,Majority_class,Relief,0.675531914893617,0.6757108870510932,0.675531914893617,0.6754492712607897,6.3018577098846436
3,minkowski1,Majority_class,Relief,0.7074468085106383,0.7086036189825878,0.7074468085106383,0.7070406573169004,6.396978139877319
5,minkowski1,Majority_class,Relief,0.6861702127659575,0.6863600317208565,0.6861702127659575,0.6860902787604358,6.3342368602752686
7,minkowski1,Majority_class,Relief,0.6968085106382979,0.6973669277040063,0.6968085106382979,0.6965939012995839,6.364157199859619
1,minkowski1,Majority_class,ANOVA,0.675531914893617,0.6757108870510932,0.675531914893617,0.6754492712607897,1.6060466766357422
3,minkowski1,Majority_class,ANOVA,0.7074468085106383,0.7086036189825878,0.7074468085106383,0.7070406573169004,1.6448478698730469
5,minkowski1,Majority_class,ANOVA,0.6861702127659575,0.6863600317208565,0.6861702127659575,0.6860902787604358,1.5997345447540283
7,minkowski1,Majority_class,ANOVA,0.6968085106382979,0.6973669277040063,0.6968085106382979,0.6965939012995839,1.6029131412506104
1,minkowski1,Inverse_Distance_Weights,Mutual_classifier,0.9521276595744681,0.9521788341822298,0.9521276595744681,0.9521263050674816,1.62235689163208
3,minkowski1,Inverse_Distance_Weights,Mutual_classifier,0.9468085106382979,0.9470108695652174,0.9468085106382979,0.9468024900962084,1.652540922164917
5,minkowski1,Inverse_Distance_Weights,Mutual_classifier,0.9414893617021277,0.9419395037951739,0.9414893617021277,0.9414744587519457,1.6391932964324951
7,minkowski1,Inverse_Distance_Weights,Mutual_classifier,0.9468085106382979,0.9476190476190476,0.9468085106382979,0.9467844202898551,1.646984338760376
1,minkowski1,Inverse_Distance_Weights,Relief,0.675531914893617,0.6757108870510932,0.675531914893617,0.6754492712607897,6.348912239074707
3,minkowski1,Inverse_Distance_Weights,Relief,0.6861702127659575,0.7248803827751197,0.6861702127659575,0.6720574756822281,6.3290114402771
5,minkowski1,Inverse_Distance_Weights,Relief,0.6702127659574468,0.7373737373737375,0.6702127659574468,0.6451102180002436,6.329001188278198
7,minkowski1,Inverse_Distance_Weights,Relief,0.6702127659574468,0.8012820512820512,0.6702127659574468,0.629968253968254,6.333209991455078
1,minkowski1,Inverse_Distance_Weights,ANOVA,0.675531914893617,0.6757108870510932,0.675531914893617,0.6754492712607897,1.6071674823760986
3,minkowski1,Inverse_Distance_Weights,ANOVA,0.6861702127659575,0.7248803827751197,0.6861702127659575,0.6720574756822281,1.6131782531738281
5,minkowski1,Inverse_Distance_Weights,ANOVA,0.6702127659574468,0.7373737373737375,0.6702127659574468,0.6451102180002436,1.6211519241333008
7,minkowski1,Inverse_Distance_Weights,ANOVA,0.6702127659574468,0.8012820512820512,0.6702127659574468,0.629968253968254,1.5921058654785156
1,minkowski1,Sheppards_Work,Mutual_classifier,0.9414893617021277,0.9419395037951739,0.9414893617021277,0.9414744587519457,1.6362276077270508
3,minkowski1,Sheppards_Work,Mutual_classifier,0.9361702127659575,0.9379545454545455,0.9361702127659575,0.9361051319814208,1.6374547481536865
5,minkowski1,Sheppards_Work,Mutual_classifier,0.9414893617021277,0.9419395037951739,0.9414893617021277,0.9414744587519457,1.6170670986175537
7,minkowski1,Sheppards_Work,Mutual_classifier,0.9468085106382979,0.9476190476190476,0.9468085106382979,0.9467844202898551,1.647237777709961
1,minkowski1,Sheppards_Work,Relief,0.675531914893617,0.6757108870510932,0.675531914893617,0.6754492712607897,6.3530189990997314
3,minkowski1,Sheppards_Work,Relief,0.7074468085106383,0.7086036189825878,0.7074468085106383,0.7070406573169004,6.382462739944458
5,minkowski1,Sheppards_Work,Relief,0.6861702127659575,0.6863600317208565,0.6861702127659575,0.6860902787604358,6.4084906578063965
7,minkowski1,Sheppards_Work,Relief,0.6968085106382979,0.6973669277040063,0.6968085106382979,0.6965939012995839,6.357588291168213
1,minkowski1,Sheppards_Work,ANOVA,0.675531914893617,0.6757108870510932,0.675531914893617,0.6754492712607897,1.611619234085083
3,minkowski1,Sheppards_Work,ANOVA,0.7074468085106383,0.7086036189825878,0.7074468085106383,0.7070406573169004,1.6130008697509766
5,minkowski1,Sheppards_Work,ANOVA,0.6861702127659575,0.6863600317208565,0.6861702127659575,0.6860902787604358,1.6171350479125977
7,minkowski1,Sheppards_Work,ANOVA,0.6968085106382979,0.6973669277040063,0.6968085106382979,0.6965939012995839,1.6133596897125244
1,minkowski2,Majority_class,Mutual_classifier,0.9308510638297872,0.9312903591254106,0.9308510638297872,0.9308334512522993,2.7412681579589844
3,minkowski2,Majority_class,Mutual_classifier,0.9414893617021277,0.9419395037951739,0.9414893617021277,0.9414744587519457,2.7731096744537354
5,minkowski2,Majority_class,Mutual_classifier,0.9414893617021277,0.9427420270116901,0.9414893617021277,0.9414479458648319,2.764847993850708
7,minkowski2,Majority_class,Mutual_classifier,0.9521276595744681,0.9534105095902848,0.9521276595744681,0.9520937738894079,2.7742459774017334
1,minkowski2,Majority_class,Relief,0.675531914893617,0.6757108870510932,0.675531914893617,0.6754492712607897,7.467087268829346
3,minkowski2,Majority_class,Relief,0.7074468085106383,0.7086036189825878,0.7074468085106383,0.7070406573169004,7.504025936126709
5,minkowski2,Majority_class,Relief,0.6861702127659575,0.6863600317208565,0.6861702127659575,0.6860902787604358,7.459572792053223
7,minkowski2,Majority_class,Relief,0.6968085106382979,0.6973669277040063,0.6968085106382979,0.6965939012995839,7.513811826705933
1,minkowski2,Majority_class,ANOVA,0.675531914893617,0.6757108870510932,0.675531914893617,0.6754492712607897,2.7322545051574707
3,minkowski2,Majority_class,ANOVA,0.7074468085106383,0.7086036189825878,0.7074468085106383,0.7070406573169004,2.728350877761841
5,minkowski2,Majority_class,ANOVA,0.6861702127659575,0.6863600317208565,0.6861702127659575,0.6860902787604358,2.7231218814849854
7,minkowski2,Majority_class,ANOVA,0.6968085106382979,0.6973669277040063,0.6968085106382979,0.6965939012995839,2.71606707572937
1,minkowski2,Inverse_Distance_Weights,Mutual_classifier,0.9414893617021277,0.9415393322014715,0.9414893617021277,0.9414877061935886,2.790032148361206
3,minkowski2,Inverse_Distance_Weights,Mutual_classifier,0.9414893617021277,0.9419395037951739,0.9414893617021277,0.9414744587519457,2.79805064201355
5,minkowski2,Inverse_Distance_Weights,Mutual_classifier,0.9468085106382979,0.9476190476190476,0.9468085106382979,0.9467844202898551,2.8007781505584717
7,minkowski2,Inverse_Distance_Weights,Mutual_classifier,0.9468085106382979,0.9476190476190476,0.9468085106382979,0.9467844202898551,2.7820146083831787
1,minkowski2,Inverse_Distance_Weights,Relief,0.675531914893617,0.6757108870510932,0.675531914893617,0.6754492712607897,7.491602659225464
3,minkowski2,Inverse_Distance_Weights,Relief,0.6861702127659575,0.7248803827751197,0.6861702127659575,0.6720574756822281,7.439048528671265
5,minkowski2,Inverse_Distance_Weights,Relief,0.6702127659574468,0.7373737373737375,0.6702127659574468,0.6451102180002436,7.465270519256592
7,minkowski2,Inverse_Distance_Weights,Relief,0.6702127659574468,0.8012820512820512,0.6702127659574468,0.629968253968254,7.457626581192017
1,minkowski2,Inverse_Distance_Weights,ANOVA,0.675531914893617,0.6757108870510932,0.675531914893617,0.6754492712607897,2.7226741313934326
3,minkowski2,Inverse_Distance_Weights,ANOVA,0.6861702127659575,0.7248803827751197,0.6861702127659575,0.6720574756822281,2.757918357849121
5,minkowski2,Inverse_Distance_Weights,ANOVA,0.6702127659574468,0.7373737373737375,0.6702127659574468,0.6451102180002436,2.730635166168213
7,minkowski2,Inverse_Distance_Weights,ANOVA,0.6702127659574468,0.8012820512820512,0.6702127659574468,0.629968253968254,2.7211546897888184
1,minkowski2,Sheppards_Work,Mutual_classifier,0.9361702127659575,0.9369614512471656,0.9361702127659575,0.9361413043478262,2.7896969318389893
3,minkowski2,Sheppards_Work,Mutual_classifier,0.9361702127659575,0.9369614512471656,0.9361702127659575,0.9361413043478262,2.756226062774658
5,minkowski2,Sheppards_Work,Mutual_classifier,0.9414893617021277,0.9419395037951739,0.9414893617021277,0.9414744587519457,2.7679529190063477
7,minkowski2,Sheppards_Work,Mutual_classifier,0.9521276595744681,0.9534105095902848,0.9521276595744681,0.9520937738894079,2.762329578399658
1,minkowski2,Sheppards_Work,Relief,0.675531914893617,0.6757108870510932,0.675531914893617,0.6754492712607897,7.486337184906006
3,minkowski2,Sheppards_Work,Relief,0.7074468085106383,0.7086036189825878,0.7074468085106383,0.7070406573169004,7.523089647293091
5,minkowski2,Sheppards_Work,Relief,0.6861702127659575,0.6863600317208565,0.6861702127659575,0.6860902787604358,7.487302541732788
7,minkowski2,Sheppards_Work,Relief,0.6968085106382979,0.6973669277040063,0.6968085106382979,0.6965939012995839,7.534496784210205
1,minkowski2,Sheppards_Work,ANOVA,0.675531914893617,0.6757108870510932,0.675531914893617,0.6754492712607897,2.7313833236694336
3,minkowski2,Sheppards_Work,ANOVA,0.7074468085106383,0.7086036189825878,0.7074468085106383,0.7070406573169004,2.768202543258667
5,minkowski2,Sheppards_Work,ANOVA,0.6861702127659575,0.6863600317208565,0.6861702127659575,0.6860902787604358,2.746351718902588
