K,Distance,Voting scheme,Weight scheme,Solving Time,Accuracy,Precision_Class_0,Recall_Class_0,F1_Class_0,Precision_Class_1,Recall_Class_1,F1_Class_1
1,minkowski1,Majority_class,Mutual_classifier,7.408231019973755,0.9417989417989417,0.9568733153638814,0.9833795013850416,0.9699453551912568,0.14285714285714285,0.058823529411764705,0.08333333333333333
3,minkowski1,Majority_class,Mutual_classifier,7.38057804107666,0.9391534391534392,0.9543010752688172,0.9833795013850416,0.9686221009549796,0.0,0.0,0.0
5,minkowski1,Majority_class,Mutual_classifier,7.363662481307983,0.9497354497354498,0.9547872340425532,0.9944598337950139,0.9742198100407056,0.0,0.0,0.0
7,minkowski1,Majority_class,Mutual_classifier,7.3818395137786865,0.9497354497354498,0.9547872340425532,0.9944598337950139,0.9742198100407056,0.0,0.0,0.0
1,minkowski1,Majority_class,Relief,11.08217740058899,0.955026455026455,0.955026455026455,1.0,0.9769959404600812,0.0,0.0,0.0
3,minkowski1,Majority_class,Relief,10.945246458053589,0.955026455026455,0.955026455026455,1.0,0.9769959404600812,0.0,0.0,0.0
5,minkowski1,Majority_class,Relief,10.946420669555664,0.955026455026455,0.955026455026455,1.0,0.9769959404600812,0.0,0.0,0.0
7,minkowski1,Majority_class,Relief,10.962801933288574,0.955026455026455,0.955026455026455,1.0,0.9769959404600812,0.0,0.0,0.0
1,minkowski1,Majority_class,ANOVA,6.7665886878967285,0.9338624338624338,0.9590163934426229,0.9722991689750693,0.9656121045392022,0.16666666666666666,0.11764705882352941,0.13793103448275862
3,minkowski1,Majority_class,ANOVA,6.771365404129028,0.9391534391534392,0.9543010752688172,0.9833795013850416,0.9686221009549796,0.0,0.0,0.0
5,minkowski1,Majority_class,ANOVA,6.7962164878845215,0.9444444444444444,0.9545454545454546,0.9889196675900277,0.9714285714285714,0.0,0.0,0.0
7,minkowski1,Majority_class,ANOVA,6.822087049484253,0.9470899470899471,0.9546666666666667,0.9916897506925207,0.9728260869565217,0.0,0.0,0.0
1,minkowski1,Inverse_Distance_Weights,Mutual_classifier,7.394352674484253,0.9365079365079365,0.9616438356164384,0.9722991689750693,0.9669421487603306,0.23076923076923078,0.17647058823529413,0.2
