K,Distance,Voting scheme,Weight scheme,Solving Time,Accuracy,Precision_Class_0,Recall_Class_0,F1_Class_0,Precision_Class_1,Recall_Class_1,F1_Class_1
1,minkowski1,Majority_class,Mutual_classifier,7.373063325881958,0.9522546419098143,0.9808219178082191,0.9701897018970189,0.9754768392370572,0.08333333333333333,0.125,0.1
3,minkowski1,Majority_class,Mutual_classifier,7.5213282108306885,0.9708222811671088,0.9811827956989247,0.989159891598916,0.9851551956815114,0.2,0.125,0.15384615384615385
5,minkowski1,Majority_class,Mutual_classifier,7.420809030532837,0.9734748010610079,0.9786666666666667,0.994579945799458,0.9865591397849462,0.0,0.0,0.0
7,minkowski1,Majority_class,Mutual_classifier,7.333826780319214,0.9734748010610079,0.9786666666666667,0.994579945799458,0.9865591397849462,0.0,0.0,0.0
1,minkowski1,Majority_class,Relief,10.921749353408813,0.9787798408488063,0.9787798408488063,1.0,0.9892761394101877,0.0,0.0,0.0
3,minkowski1,Majority_class,Relief,10.986131429672241,0.9787798408488063,0.9787798408488063,1.0,0.9892761394101877,0.0,0.0,0.0
5,minkowski1,Majority_class,Relief,10.918802261352539,0.9787798408488063,0.9787798408488063,1.0,0.9892761394101877,0.0,0.0,0.0
7,minkowski1,Majority_class,Relief,11.011718511581421,0.9787798408488063,0.9787798408488063,1.0,0.9892761394101877,0.0,0.0,0.0
1,minkowski1,Majority_class,ANOVA,6.765010356903076,0.9549071618037135,0.9808743169398907,0.9728997289972899,0.9768707482993197,0.09090909090909091,0.125,0.10526315789473684
3,minkowski1,Majority_class,ANOVA,6.773043155670166,0.9708222811671088,0.9786096256684492,0.991869918699187,0.9851951547779273,0.0,0.0,0.0
5,minkowski1,Majority_class,ANOVA,6.857990264892578,0.9734748010610079,0.9786666666666667,0.994579945799458,0.9865591397849462,0.0,0.0,0.0
7,minkowski1,Majority_class,ANOVA,6.790215969085693,0.9734748010610079,0.9786666666666667,0.994579945799458,0.9865591397849462,0.0,0.0,0.0
1,minkowski1,Inverse_Distance_Weights,Mutual_classifier,7.407790422439575,0.9522546419098143,0.9808219178082191,0.9701897018970189,0.9754768392370572,0.08333333333333333,0.125,0.1
3,minkowski1,Inverse_Distance_Weights,Mutual_classifier,7.3106207847595215,0.9708222811671088,0.9837837837837838,0.986449864498645,0.9851150202976996,0.2857142857142857,0.25,0.26666666666666666
5,minkowski1,Inverse_Distance_Weights,Mutual_classifier,7.413681268692017,0.9734748010610079,0.9786666666666667,0.994579945799458,0.9865591397849462,0.0,0.0,0.0
7,minkowski1,Inverse_Distance_Weights,Mutual_classifier,7.3667521476745605,0.9734748010610079,0.9786666666666667,0.994579945799458,0.9865591397849462,0.0,0.0,0.0
1,minkowski1,Inverse_Distance_Weights,Relief,10.969525337219238,0.9787798408488063,0.9787798408488063,1.0,0.9892761394101877,0.0,0.0,0.0
3,minkowski1,Inverse_Distance_Weights,Relief,11.036494731903076,0.9787798408488063,0.9787798408488063,1.0,0.9892761394101877,0.0,0.0,0.0
5,minkowski1,Inverse_Distance_Weights,Relief,10.990551710128784,0.9787798408488063,0.9787798408488063,1.0,0.9892761394101877,0.0,0.0,0.0
7,minkowski1,Inverse_Distance_Weights,Relief,10.959761381149292,0.9787798408488063,0.9787798408488063,1.0,0.9892761394101877,0.0,0.0,0.0
1,minkowski1,Inverse_Distance_Weights,ANOVA,6.7916271686553955,0.9549071618037135,0.9808743169398907,0.9728997289972899,0.9768707482993197,0.09090909090909091,0.125,0.10526315789473684
